bootstrap_id,segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
20,tip_middle_root_1_2_2,SVM,0.5781708211143695,0.4585518354175071,0.513421052631579,0.47648319422512975,0.5698057644110276
20,tip_middle_root_1_2_2,Random Forest,0.5696480938416422,0.44037145650048876,0.4471052631578948,0.43740629685157423,0.548671679197995
20,tip_middle_root_1_2_2,CNN,0.5820197947214076,0.43924191750278707,0.5549999999999999,0.48283678756476683,0.5608333333333333
20,tip_middle_root_1_3_1,SVM,0.5616568914956012,0.4457236842105263,0.48684210526315785,0.4555555555555555,0.5519924812030075
20,tip_middle_root_1_3_1,Random Forest,0.5910740469208211,0.4693181818181818,0.44394736842105265,0.4471675371635195,0.566735588972431
20,tip_middle_root_1_3_1,CNN,0.5937683284457478,0.41000000000000003,0.43526315789473685,0.40014492753623193,0.542155388471178
21,tip_middle_root_1_2_2,SVM,0.595985060690943,0.47913533834586464,0.5095500848896435,0.493421052631579,0.5782169925202112
21,tip_middle_root_1_2_2,Random Forest,0.6000933706816061,0.48084291187739464,0.399830220713073,0.4346153846153846,0.5650097660777629
21,tip_middle_root_1_2_2,CNN,0.5654372860255213,0.4881320949432404,0.5426570458404074,0.48273085182534003,0.5764047500939347
21,tip_middle_root_1_3_1,SVM,0.6300964830376595,0.5202702702702703,0.513157894736842,0.5166666666666666,0.6051297934062834
21,tip_middle_root_1_3_1,Random Forest,0.625972611266729,0.5253787878787879,0.3938879456706282,0.45010409437890353,0.581828375582843
21,tip_middle_root_1_3_1,CNN,0.5630718954248366,0.4838274932614555,0.4176570458404074,0.37371134020618557,0.5589081007389338
22,tip_middle_root_1_2_2,SVM,0.5251923076923077,0.5363856882959369,0.4480113636363636,0.48792270531400966,0.5186610967267613
22,tip_middle_root_1_2_2,Random Forest,0.5831468531468531,0.6369047619047619,0.44545454545454544,0.5235362769889127,0.5771928142181306
22,tip_middle_root_1_2_2,CNN,0.6386538461538461,0.655094094743673,0.6511363636363636,0.6245110821382007,0.6560885756297148
22,tip_middle_root_1_3_1,SVM,0.5337062937062937,0.5404672507300793,0.4460227272727273,0.4885763000852515,0.5280043312875591
22,tip_middle_root_1_3_1,Random Forest,0.6011538461538461,0.6672932330827068,0.44474431818181814,0.5317364059025672,0.5938911464326813
22,tip_middle_root_1_3_1,CNN,0.5701573426573426,0.565849605317823,0.4666193181818182,0.4548524445749523,0.5931549474172101
23,tip_middle_root_1_2_2,SVM,0.6118656624274601,0.5131797426317974,0.5025641025641026,0.5076083110055104,0.5933727592466531
23,tip_middle_root_1_2_2,Random Forest,0.6505741449561675,0.5783227848101266,0.5,0.5330026492305958,0.6212346834581348
23,tip_middle_root_1_2_2,CNN,0.585720459315965,0.5090709180868609,0.5461538461538462,0.5,0.5876404016337644
23,tip_middle_root_1_3_1,SVM,0.6312816397086061,0.5429869810857283,0.48717948717948717,0.5135505815229318,0.6063577830723849
23,tip_middle_root_1_3_1,Random Forest,0.7005185825410545,0.6718645204560698,0.5141025641025642,0.57831023019507,0.665407306557749
23,tip_middle_root_1_3_1,CNN,0.5834053586862575,0.48916666666666664,0.4217948717948718,0.39950551769884823,0.5670070342636715
24,tip_middle_root_1_2_2,SVM,0.5788043478260869,0.5173589093214965,0.5027040730099712,0.5008028259473346,0.5734714645958182
24,tip_middle_root_1_2_2,Random Forest,0.654891304347826,0.6279304029304029,0.5764745648132499,0.5823329076202639,0.6582260685013825
24,tip_middle_root_1_2_2,CNN,0.6603260869565217,0.5727642276422764,0.5638837248605713,0.5561127676877202,0.6148546743170251
24,tip_middle_root_1_3_1,SVM,0.6114130434782609,0.5555650684931507,0.5333784012168329,0.5340425531914894,0.6079423545192659
24,tip_middle_root_1_3_1,Random Forest,0.6467391304347826,0.6353568498769484,0.4869866486395133,0.5338461538461539,0.6387133972101408
24,tip_middle_root_1_3_1,CNN,0.657608695652174,0.602004716981132,0.4242859557208044,0.4518584863412449,0.588719933285129
25,tip_middle_root_1_2_2,SVM,0.5509753570302294,0.5007894736842106,0.4726958240672103,0.47424345988939287,0.5488479120336052
25,tip_middle_root_1_2_2,Random Forest,0.5811370905978286,0.5411818738518065,0.4726958240672103,0.49151976495726496,0.5753036791108728
25,tip_middle_root_1_2_2,CNN,0.6038653872144885,0.5253178194354665,0.5784531751914999,0.5462962962962963,0.5884987040571161
